prov,price,url,postcode,description,property_type,bedroom_number,street_name,image,period_unit,origin_url,location_raw
cotswoldlettings.1,"1,275",propertydet.asp?Id=JUBI2&PropInd=L,OX7 4NN,,,2,Jubilee Cottages,http://hub1.10ninety.co.uk/1090/PPS/resize.asp?ClientId=cotswoldlettings&File=propertyphotos2240.JPG&Width=133&Height=100&C=true&RS=true&UseWidth=&UseHeight=false&Sharpen=&CropCentre=,pcm,http://www.cotswoldlettings.co.uk/,"Jubilee Cottages, Church Enstone, OX7 4NN"
cotswoldlettings.2,825,propertydet.asp?Id=ALFR6&PropInd=L,OX7 5HB,Featured Properties,Terrace,3,Alfred Terrace,http://hub1.10ninety.co.uk/1090/PPS/resize.asp?ClientId=cotswoldlettings&File=propertyphotos2239.JPG&Width=133&Height=100&C=true&RS=true&UseWidth=&UseHeight=false&Sharpen=&CropCentre=,pcm,http://www.cotswoldlettings.co.uk/,"Alfred Terrace, Chipping Norton, OX7 5HB"
cotswoldlettings.3,"1,895",propertydet.asp?Id=CEDAHOUS&PropInd=L,OX7 6BP,,,4,Church Street,http://hub1.10ninety.co.uk/1090/PPS/resize.asp?ClientId=cotswoldlettings&File=propertyphotos2255.JPG&Width=133&Height=100&C=true&RS=true&UseWidth=&UseHeight=false&Sharpen=&CropCentre=,pcm,http://www.cotswoldlettings.co.uk/,"Church Street, Shipton-under-Wychwood, OX7 6BP"
cotswoldlettings.4,"1,395",propertydet.asp?Id=LITT1&PropInd=L,GL56 0XU,"1,275pcm2 bedrooms, Jubilee Cottages, Church Enstone, OX7 4NN",,5,Fosseway,http://hub1.10ninety.co.uk/1090/PPS/resize.asp?ClientId=cotswoldlettings&File=propertyphotos2162.JPG&Width=133&Height=100&C=true&RS=true&UseWidth=&UseHeight=false&Sharpen=&CropCentre=,pcm,http://www.cotswoldlettings.co.uk/,"Fosseway, Donnington, GL56 0XU"
cotswoldlettings.5,625,propertydet.asp?Id=ALBI19F2&Page=1&branch=&propind=L&Cat=&country=&Location=&town=&area=&MinPrice=&MaxPrice=&MinBeds=&BedsEqual=&sleeps=&PropType=&Furn=&FA=&O=Price&Dir=ASC&LetType=&searchbymap=&locations=&newhomes=&SS=&fromdate=&todate=&minbudget=&maxbudget=,OX7 5BL,"A recently converted one-bedroom 1st floor flat within easy reach of Chipping Norton town centre. This flat has undergone extensive renovation and redecoration to create a stylish, high quality home....",,1,Albion Street,http://hub1.10ninety.co.uk/1090/PPS/resize.asp?ClientId=cotswoldlettings&File=propertyphotos/2070.JPG&Width=175&Height=132&C=false&UseWidth=false&UseHeight=true&Squash=&Sharpen=&RS=true,pcm,http://www.cotswoldlettings.co.uk/properties.asp,"Albion Street, Chipping Norton, OX7 5BL"
cotswoldlettings.6,575,propertydet.asp?Id=BURF69a&Page=1&branch=&propind=L&Cat=&country=&Location=&town=&area=&MinPrice=&MaxPrice=&MinBeds=&BedsEqual=&sleeps=&PropType=&Furn=&FA=&O=Price&Dir=ASC&LetType=&searchbymap=&locations=&newhomes=&SS=&fromdate=&todate=&minbudget=&maxbudget=,OX7 5EE,"Cotswold Lettings are pleased to present this 1-bedroom annexe-style bungalow within walking distance of the town centre. Accommodation comprises Lounge with door to low-maintenance Patio Garden, Kit...",,1,Burford Road,http://hub1.10ninety.co.uk/1090/PPS/resize.asp?ClientId=cotswoldlettings&File=propertyphotos/2339.JPG&Width=175&Height=132&C=false&UseWidth=false&UseHeight=true&Squash=&Sharpen=&RS=true,pcm,http://www.cotswoldlettings.co.uk/properties.asp,"Burford Road, Chipping Norton, OX7 5EE"
cotswoldlettings.7,800,propertydet.asp?Id=COTTHEAT&Page=1&branch=&propind=L&Cat=&country=&Location=&town=&area=&MinPrice=&MaxPrice=&MinBeds=&BedsEqual=&sleeps=&PropType=&Furn=&FA=&O=Price&Dir=ASC&LetType=&searchbymap=&locations=&newhomes=&SS=&fromdate=&todate=&minbudget=&maxbudget=,OX7 5NT,MANAGED PROPERTY. Cotswold Lettings are pleased to present this spacious cottage situated in the historic centre of Chipping Norton. Accommodation comprises; Open-plan Reception Room/Kitchen with ap...,,2,Church Street,http://hub1.10ninety.co.uk/1090/PPS/resize.asp?ClientId=cotswoldlettings&File=propertyphotos/2352.JPG&Width=175&Height=132&C=false&UseWidth=false&UseHeight=true&Squash=&Sharpen=&RS=true,pcm,http://www.cotswoldlettings.co.uk/properties.asp,"Church Street, Chipping Norton, OX7 5NT"
cotswoldlettings.8,550,propertydet.asp?Id=GROVSTUD&Page=1&branch=&propind=L&Cat=&country=&Location=&town=&area=&MinPrice=&MaxPrice=&MinBeds=&BedsEqual=&sleeps=&PropType=&Furn=&FA=&O=Price&Dir=ASC&LetType=&searchbymap=&locations=&newhomes=&SS=&fromdate=&todate=&minbudget=&maxbudget=,OX7 5TN,"UNDER OFFER, MORE PROPERTIES URGENTLY REQUIRED. A super 1-bed annexe in the rural village of Heythrop. Accommodation includes; Open-plan Reception Room (with Wood-Burner) and Kitchen. Double Bedroo...",,1,Dunthrop Road,http://hub1.10ninety.co.uk/1090/PPS/resize.asp?ClientId=cotswoldlettings&File=propertyphotos/841.jpg&Width=175&Height=132&C=false&UseWidth=false&UseHeight=true&Squash=&Sharpen=&RS=true,pcm,http://www.cotswoldlettings.co.uk/properties.asp,"Dunthrop Road, Heythrop, OX7 5TN"
cotswoldlettings.9,750,propertydet.asp?Id=FINS35&Page=1&branch=&propind=L&Cat=&country=&Location=&town=&area=&MinPrice=&MaxPrice=&MinBeds=&BedsEqual=&sleeps=&PropType=&Furn=&FA=&O=Price&Dir=ASC&LetType=&searchbymap=&locations=&newhomes=&SS=&fromdate=&todate=&minbudget=&maxbudget=,,"UNDER OFFER, MORE PROPERTIES URGENTLY REQUIRED. Cotswold Lettings are pleased to present this well-maintained 2 bedroom flat with garage located in the popular Finsbury Place development, only 2 mins...",,2,Finsbury Place,http://hub1.10ninety.co.uk/1090/PPS/resize.asp?ClientId=cotswoldlettings&File=propertyphotos/1738.JPG&Width=175&Height=132&C=false&UseWidth=false&UseHeight=true&Squash=&Sharpen=&RS=true,pcm,http://www.cotswoldlettings.co.uk/properties.asp,"Finsbury Place, Chipping Norton"
cotswoldlettings.10,950,propertydet.asp?Id=OAKLCOTT&Page=1&branch=&propind=L&Cat=&country=&Location=&town=&area=&MinPrice=&MaxPrice=&MinBeds=&BedsEqual=&sleeps=&PropType=&Furn=&FA=&O=Price&Dir=ASC&LetType=&searchbymap=&locations=&newhomes=&SS=&fromdate=&todate=&minbudget=&maxbudget=,OX7 5PR,"Cotswold Lettings are pleased to present this pretty listed cottage in the popular village of Over Norton. Offering a wealth of features and charm, viewing is highly recommended for this listed prope...",,3,Main Street,http://hub1.10ninety.co.uk/1090/PPS/resize.asp?ClientId=cotswoldlettings&File=propertyphotos/193.JPG&Width=175&Height=132&C=false&UseWidth=false&UseHeight=true&Squash=&Sharpen=&RS=true,pcm,http://www.cotswoldlettings.co.uk/properties.asp,"Main Street, Over Norton, OX7 5PR"
cotswoldlettings.11,600,propertydet.asp?Id=OVER62A&Page=1&branch=&propind=L&Cat=&country=&Location=&town=&area=&MinPrice=&MaxPrice=&MinBeds=&BedsEqual=&sleeps=&PropType=&Furn=&FA=&O=Price&Dir=ASC&LetType=&searchbymap=&locations=&newhomes=&SS=&fromdate=&todate=&minbudget=&maxbudget=,OX7 5NR,"UNDER OFFER, MORE PROPERTIES URGENTLY REQUIRED. A light and spacious 1 bedroom fully annexe bungalow located within walking distance of Chipping Norton town centre. Accommodation comprises; Lounge w...",,1,Over Norton Road,http://hub1.10ninety.co.uk/1090/PPS/resize.asp?ClientId=cotswoldlettings&File=propertyphotos/2201copy.JPG&Width=175&Height=132&C=false&UseWidth=false&UseHeight=true&Squash=&Sharpen=&RS=true,pcm,http://www.cotswoldlettings.co.uk/properties.asp,"Over Norton Road, Chipping Norton, OX7 5NR"
cotswoldlettings.12,750,propertydet.asp?Id=BAKEF1&Page=1&branch=&propind=L&Cat=&country=&Location=&town=&area=&MinPrice=&MaxPrice=&MinBeds=&BedsEqual=&sleeps=&PropType=&Furn=&FA=&O=Price&Dir=ASC&LetType=&searchbymap=&locations=&newhomes=&SS=&fromdate=&todate=&minbudget=&maxbudget=,CV36 4DA,"Cotswold Lettings are pleased to present this high quality ground floor flat in the centre of Shipston on Stour. Accommodation comprises; Open-plan Lounge & Kitchen, 2 Double Bedrooms and Bathroom. ...",,2,Telegraph Street,http://hub1.10ninety.co.uk/1090/PPS/resize.asp?ClientId=cotswoldlettings&File=propertyphotos/2128.JPG&Width=175&Height=132&C=false&UseWidth=false&UseHeight=true&Squash=&Sharpen=&RS=true,pcm,http://www.cotswoldlettings.co.uk/properties.asp,"Telegraph Street, Shipston on Stour, CV36 4DA"
cotswoldlettings.13,750,propertydet.asp?Id=HOLL1&Page=1&branch=&propind=L&Cat=&country=&Location=&town=&area=&MinPrice=&MaxPrice=&MinBeds=&BedsEqual=&sleeps=&PropType=&Furn=&FA=&O=Price&Dir=ASC&LetType=&searchbymap=&locations=&newhomes=&SS=&fromdate=&todate=&minbudget=&maxbudget=,,"UNDER OFFER, MORE PROPERTIES URGENTLY REQUIRED. A centrally-located two bedroom flat in the centre of Chipping Norton with the added benefit of two parking spaces. Accommodation comprises: Lounge wi...",,2,The Hollies,http://hub1.10ninety.co.uk/1090/PPS/resize.asp?ClientId=cotswoldlettings&File=propertyphotos/854.jpg&Width=175&Height=132&C=false&UseWidth=false&UseHeight=true&Squash=&Sharpen=&RS=true,pcm,http://www.cotswoldlettings.co.uk/properties.asp,"The Hollies, Chipping Norton"
cotswoldlettings.14,725,propertydet.asp?Id=OLDS6&Page=1&branch=&propind=L&Cat=&country=&Location=&town=&area=&MinPrice=&MaxPrice=&MinBeds=&BedsEqual=&sleeps=&PropType=&Furn=&FA=&O=Price&Dir=ASC&LetType=&searchbymap=&locations=&newhomes=&SS=&fromdate=&todate=&minbudget=&maxbudget=,GL54 1BP,"Cotswold Lettings are pleased to present this unusual and characterful 2 bedroom flat, forming part of the historic School House Court. Accommodation comprises Lounge with feature Fireplace, Kitchen ...",,2,Union Street,http://hub1.10ninety.co.uk/1090/PPS/resize.asp?ClientId=cotswoldlettings&File=propertyphotos/2289.JPG&Width=175&Height=132&C=false&UseWidth=false&UseHeight=true&Squash=&Sharpen=&RS=true,pcm,http://www.cotswoldlettings.co.uk/properties.asp,"Union Street, Stow on the Wold, GL54 1BP"
