tst_addressLine1,property_address,street,city,postcode,price,pricetype,bedrooms,bullets_2,bullets_3,bullets_4,agency,contact
Skyline Plaza Building,80 Commercial Road Whitechapel London E1 1NY,80 Commercial Road,Whitechapel,E1W 1AA,485000,Guide price,2 bedrooms,Dual Aspect Reception,Roof Terrace,Porter,Savills Wapping,+44 (0) 20 7456 6800
Roland Mews,Stepney Green London E1 3JT,Stepney Green,London,E1W 1AB,695000,Guide price,Reception room,Kitchen,2 Bedrooms,Parking,Savills Wapping,+44 (0) 20 7456 6800
St. Mary Graces Court,Cartwright Street Aldgate London E1 8NB,Cartwright Street,Aldgate,E1W 1AD,500000,Guide price,Two Bedrooms,Reception with balcony,Access to loft for storage,Separate Kitchen,Savills Wapping,+44 (0) 20 7456 6800
The Listed Building,350 The Highway Wapping London E1W 3HU,350 The Highway,Wapping,E1W 1AE,915000,Guide price,Reception Room,Open plan kitchen,2 Bedrooms,2 Bathrooms,Savills Wapping,+44 (0) 20 7456 6800
Prospect Place,Wapping Wall London E1W 3TJ,Wapping Wall,London,E1W 1AF,999999,Guide price,Reception room,Kitchen,1045 sq ft,3 Bedrooms,Savills Wapping,+44 (0) 20 7456 6800
Barts Square,56 West Smithfield Smithfield Market London EC1A 9DS,56 West Smithfield,Smithfield Market,E1W 9JQ,1950000 - 2085000,Guide price,A range of 3 beds,Collection of characterful buildings,Expertly crafted,Contemporary & character design,Savills Margaret Street,+44 (0) 207 409 8756
Barts Square,56 West Smithfield Smithfield Market London EC1A 9DS,56 West Smithfield,Smithfield Market,E1W 9JR,1050000 - 1800000,Guide price,A range of 2 beds,Collection of characterful buildings,Expertly crafted,Contemporary & character design,Savills Margaret Street,+44 (0) 207 409 8756
Barts Square,56 West Smithfield Smithfield Market London EC1A 9DS,56 West Smithfield,Smithfield Market,E1W 9JS,Asking price,815000 - 820000,1 beds from 790000,Ideally located within The City,Collection of characterful buildings,Expertly crafted apartments,Savills Margaret Street,+44 (0) 207 409 8756
South Penthouse,The Heron Moor Lane London EC2Y 9AP,The Heron,Moor Lane,E1W 9LA,13500000,Guide price,Bespoke boffi kitchen,Double height formal living area,Dining room,4 Bedrooms,Savills Margaret Street,+44 (0) 207 409 8756
Islington Square,Almeida Street Upper Street London N1 1AA,Almeida Street,Upper Street,E1W 1BB,1445000,Guide price,2 bedroom apartment,1040 sq ft,Access to lounge cinema,Access to membership of leisure facility,Savills Margaret Street,+44 (0) 207 409 8756
Islington Square,Almeida Street Upper Street London N1 1AA,Almeida Street,Upper Street,E1W 1BD,2500000,Guide price,3 bedroom Maisonette duplex apartment,1948 sq ft,Access to lounge cinema,Access to membership of leisure facility,Savills Margaret Street,+44 (0) 207 409 8756
Islington Square,Almeida Street Upper Street London N1 1AA,Almeida Street,Upper Street,E1W 1BE,725000,Guide price,Suite apartment,495 sq ft,Access to lounge cinema,Access to membership of leisure facility,Savills Margaret Street,+44 (0) 207 409 8756
Islington Square,Almeida Street Upper Street London N1 1QN,Almeida Street,Upper Street,E1W 1BF,940000,Guide price,1 bedroom apartment,624 sq ft,Access to lounge cinema,Access to membership of leisure facility,Savills Margaret Street,+44 (0) 207 409 8756
Frederick Building,76 Tottenham Road London N1 4BD,76 Tottenham Road,London,E1W 1BG,799950,Guide price,kitchen/reception room,2 double bedrooms,shower room,bathroom,Savills Islington,+44 (0) 207 226 1313
Wenlock Street,Shoreditch London N1 7JN,Shoreditch,London,E1W 1BH,1365000,Guide price,Four bedrooms,Three bathrooms,Reception room,Eat-in kitchen,Savills Shoreditch,+44 (0) 207 578 6200
Gasholders,1 Lewis Cubitt Kings Cross London N1C 4BT,1 Lewis Cubitt,Kings Cross,E1W 1BJ,2925000,Guide price,New development,145 private residences,3 bedroom,24 hour concierge,Savills Margaret Street,+44 (0) 207 409 8756
Gasholders,1 Lewis Cubitt Kings Cross London N1C 4BT,1 Lewis Cubitt,Kings Cross,SW12 0EB,1000000,Guide price,New development,145 private residences,1 bedroom,24 hour concierge,Savills Margaret Street,+44 (0) 207 409 8756
Carlow House,Carlow Street Regents Park London NW1 7LH,Carlow Street,Regents Park,SW12 0ED,695000,Guide price,1 bed apartment,Loft style apartment,Daytime concierge,Secure cycle storage,Savills Margaret Street,+44 (0) 207 409 8756
St. Augustines Road,Camden London NW1 9RN,Camden,London,SW12 0EE,2300000,Guide price,3 Reception rooms,Conservatory,Kitchen and utility room,Master bedroom suite,Savills Primrose Hill,+44 (0) 203 428 2900
Falkland Road,Kentish Town London NW5 2PX,Kentish Town,London,SW12 0EF,2100000,Guide price,Reception Room,kitchen,4 bedrooms,wet room,Savills Hampstead,+44 (0) 20 7472 5000
Falkland Road,Kentish Town London NW5 2PX,Kentish Town,London,SW12 0EG,2100000,Guide price,Reception Room,kitchen,4 bedrooms,wet room,Savills Hampstead,+44 (0) 20 7472 5000
Hanover House,St. Johns Wood High Street St. Johns Wood London NW8 7DY,St. Johns Wood High Street,St. Johns Wood,SW12 0EH,3650000,Guide price,Reception room,Family Room,Master bedroom suite,2 further bedrooms,Savills St Johns Wood & Regents Park,+44 (0) 20 3043 3600
Albert Palace Mansions,Lurline Gardens Battersea London SW11 4DH,Lurline Gardens,Battersea,SW12 0EJ,699999,Guide price,Reception room,Kitchen,Dining room,Two bedrooms,Savills Battersea Park,+44 (0) 20 3402 1900
Badminton Road,Nightingale Triangle London SW12 8BL,Nightingale Triangle,London,SW12 0EL,Asking price,1300000,Reception room,Kitchen/dining room,Master bedroom,3 further bedrooms,Savills Clapham,+44 (0) 20 8673 4111
Park View Mews,Stockwell London SW9 0AG,Stockwell,London,SW12 0EN,525000,Guide price,Reception room/open plan kitchen,reception room,2 bedrooms,bathroom,Savills Northcote Road,+44 (0) 20 3428 2222
Aigburth Mansions,Hackford Road London SW9 0EW,Hackford Road,London,SW12 0EP,550000,Guide price,Reception room,Open plan kitchen,Master bedroom,2nd bedroom,Savills Northcote Road,+44 (0) 20 3428 2222
Television Centre,Wood Lane London W12 7RJ,Wood Lane,London,SW12 0EQ,595000,Guide price,Studio apartment,Open-plan kitchen / reception room,3m+ ceiling height,Bathroom,Savills Brook Green & Shepherds Bush,+44 (0) 203 618 3777
Long Island House,Warple Way London W3 0RG,Warple Way,London,SW12 0EW,2450000,Guide price,3 bedrooms,Open plan kitchen / dining / reception room,3 bathrooms (2 en suite),Dressing room,Savills Chiswick,+44 (0) 20 8987 5555
Abingdon Gardens,40 Abingdon Villas London W8 6BU,40 Abingdon Villas,London,SW12 0EX,Asking price,3875000,Double reception room,Dining room,Four double bedrooms,Three balconies/roof terrace,Savills Kensington,+44 (0) 20 7535 3300
Lauderdale Mansions,Lauderdale Road Maida Vale London W9 1NG,Lauderdale Road,Maida Vale,SW12 0EY,1200000,Guide price,Reception room,Kitchen,2 bedrooms (1 en suite),further bathroom,Savills Maida Vale,+44 (0) 20 3425 5600
Orbel Street,London SW11 3NX,London,,SW12 0EZ,1650000,Guide price,Reception room,dining room,kitchen/breakfast room,study,Savills Battersea Park,+44 (0) 20 3402 1900
Elm Park Gardens,London SW10 9QB,London,,SW12 0FA,1975000,Guide price,Reception Room,Dining Area,Kitchen,Master Bedroom Suite,Savills Earls Court,+44 (0) 20 7578 6900
Dorset Street,London W1U 6QU,London,,SW12 0FB,1950000,Guide price,Reception room,Kitchen,Four bedrooms,Bathroom,Savills Marylebone & Fitzrovia,+44 (0) 20 3527 0400
Stockwell Park Road,London SW9 0DA,London,,SW12 0FD,1985000,Guide price,Drawing room,kitchen/breakfast room,dining room,master bedroom with en suite bathroom,Savills Battersea Park,+44 (0) 20 3402 1900
Devonia Road,London N1 8JH,London,,,1150000,Guide price,reception room,kitchen,2 bedrooms,bathroom,Savills Islington,+44 (0) 207 226 1313
