street,city,postcode,price,nth_of_type_2,details_box_nth_of_type_2,bedroom_number
Ordsall Lane Salford M5 4TD,Ordsall Lane Salford M5 4TD,M5 4TD,Sold,Sold,Apartment,2 bedroom(s)
Chapel Street Salford M3 5DW,Chapel Street Salford M3 5DW,M3 5DW,Sold STC,Sold STC,Apartment,2 bedroom(s)
Homestead Road Stockport SK12 2JN,Homestead Road Stockport SK12 2JN,SK12 2JN,For sale,For sale,Apartment,2 bedroom(s)
South Drive Manchester M21 8DY,South Drive Manchester M21 8DY,M21 8DY,For sale,For sale,House,3 bedroom(s)
B6 Manchester M1 5BY,B6 Manchester M1 5BY,M1 5BY,For sale,For sale,Apartment,2 bedroom(s)
Sefton Street Liverpool L8 5RS,Sefton Street Liverpool L8 5RS,L8 5RS,Sold,Sold,Apartment,1 bedroom(s)
Adelphi Street Salford M3 6EN,Adelphi Street Salford M3 6EN,M3 6EN,Sold,Sold,Apartment,3 bedroom(s)
Media City UK Salford M50 2BA,Media City UK Salford M50 2BA,M50 2BA,For sale,For sale,Apartment,2 bedroom(s)
Pilgrims Way Salford M50 1AU,Pilgrims Way Salford M50 1AU,M50 1AU,To let,To let,Apartment,2 bedroom(s)
Pilgrims Way Salford M50 1AZ,Pilgrims Way Salford M50 1AZ,M50 1AZ,To let,To let,Apartment,2 bedroom(s)
Pilgrims Way Salford M50 1AW,Pilgrims Way Salford M50 1AW,M50 1AW,Let agreed,Let agreed,Apartment,1 bedroom(s)
Bury Street Salford M3 7DX,Bury Street Salford M3 7DX,M3 7DX,To let,To let,Apartment,2 bedroom(s)
41 Devonshire Road Manchester M30 0SW,41 Devonshire Road Manchester M30 0SW,M30 0SW,Let,Let,Apartment,2 bedroom(s)
74 Blackfriars Road Salford M3 7EL,74 Blackfriars Road Salford M3 7EL,M3 7EL,Let,Let,Apartment,3 bedroom(s)
3 Cambridge Street Manchester M1 5BY,3 Cambridge Street Manchester M1 5BY,M1 5BY,To let,To let,Apartment,1 bedroom(s)
