street,postcode,city,price,agency,listing_enquiry_tel,trcontainsstatus,trcontainsstyle,bedroom_number
Hazelwood Road,M22 0AD,Manchester,149950,Belvoir Cheadle,0161 485 4778,For sale,Terrace House,2
Withington Road,M21 0YA,Manchester,575000,Belvoir Cheadle,0161 485 4778,For sale,Detached House,5
Range Road,M16 8FS,Manchester,180000,Belvoir Cheadle,0161 485 4778,For sale,Apartment,2
Manchester Road,M16 0DZ,Manchester,195000,Belvoir Cheadle,0161 485 4778,For sale,Apartment,2
Manchester Road,M16 0DZ,Manchester,195000,Belvoir Cheadle,0161 485 4778,For sale,Apartment,2
Strathmore Avenue,M16 0BU,Manchester,465000,Belvoir Cheadle,0161 485 4778,For sale,Detached House,4
Ayres Road,M16 9NH,Old trafford,240000,Belvoir Cheadle,0161 485 4778,For sale,Town House,4
Barton Road,M13 0RH,Manchester,100000,Belvoir Cheadle,0161 485 4778,For sale,Apartment,2
Blossom Street ,M13 0RH,Manchester,380825,Belvoir Manchester Central,0161 236 4441,For sale,Town House,3
Warwick Road,M21 0AU,Chorlton,425000,Belvoir Cheadle,0161 485 4778,For sale,End-Terrace House,3
Hardy Lane,M21 8DN,Chorlton Cum Hardy,385000,Belvoir Manchester Chorlton,0161 861 7520,For sale,Town House,3
Hardy Lane,M21 8DN,Chorlton Cum Hardy,375000,Belvoir Manchester Chorlton,0161 861 7520,For sale,Town House,3
Sharston,M22 4JZ,Manchester,125000,Belvoir Cheadle,0161 485 4778,For sale,Apartment,2
Denmark Road,M15 6AZ,Manchester,147500,Belvoir Manchester Central,0161 236 4441,For sale,Apartment,2
Manchester Road,M16 0DZ,Chorlton,200000,Belvoir Manchester Chorlton,0161 861 7520,For sale,Apartment,2
Spindletree Ave,M9 7HQ,Blackley,112000,Belvoir Manchester Central,0161 236 4441,For sale,Apartment,2
Whitworth Street West,M1 5WQ,Manchester,259995,Belvoir Manchester Central,0161 236 4441,For sale,Apartment,2
Capricorn Road,M9 7JA,Manchester,125000,Belvoir Manchester Central,0161 236 4441,For sale,Semi-Detached House,2
Maitland Avenue,M21 7WH,Manchester,110000,Belvoir Manchester Central,0161 236 4441,For sale,Apartment,2
Water Street,M13 0RH,Manchester,169950,Belvoir Manchester Central,0161 236 4441,For sale,Apartment,2
Church Street,M4 1PE,Manchester,395000,Belvoir Manchester Central,0161 236 4441,Under offer,Apartment,2
Holly Bank,M43 7SP,Droylsden,79000,Belvoir Ashton-under-Lyne,0161 343 2323,For sale,Apartment,2
Sharp Street,M4 4BJ,Manchester,140000,Belvoir Manchester Central,0161 236 4441,Under offer,Apartment,2
Broughton Road,M6 6LS,Manchester,48500,Belvoir Manchester Central,0161 236 4441,Under offer,Apartment,1
Ludgate Hill,M4 4TG,Manchester,86000,Belvoir Manchester Central,0161 236 4441,Under offer,Apartment,null
Spring Bridge Road,M16 8HA,Manchester,675,Belvoir Manchester Chorlton,0161 861 7520,To let,Apartment,2
Princess Street,M1 6HR,Manchester,115000,Belvoir Manchester Central,0161 236 4441,Under offer,Apartment,1
Lower Chatham Street,M1 5TF,Manchester,200000,Belvoir Manchester Central,0161 236 4441,Under offer,Apartment,2
Chester Road,M15 4QG,Manchester,265000,Belvoir Manchester Central,0161 236 4441,Under offer,Apartment,2
