"postcode","postcodestatus","lsoacode","lsoaname","indexofmultipledeprivationrank","indexofmultipledeprivationdecile","incomerank","incomedecile","incomescore","employmentrank","employmentdecile","employmentscore","educationandskillsrank","educationandskillsdecile","healthanddisabilityrank","healthanddisabilitydecile","crimerank","crimedecile","barrierstohousingandservicesrank","barrierstohousingandservicesdecile","livingenvironmentrank","livingenvironmentdecile","idacirank","idacidecile","idaciscore","idaopirank","idaopidecile","idaopiscore"
"M9 8QA","Live","E01005140","Manchester 002E E01005140","5311","2","7370","3","0.215","4848","2","0.203","10169","4","1784","1","3074","1","17201","6","11116","4","10003","4","0.237","6587","3","0.285"
"M9 8QB","Live","E01005104","Manchester 004A E01005104","2582","1","2342","1","0.33","3473","2","0.228","7472","3","2064","1","4731","2","2584","1","9851","3","1480","1","0.457","4008","2","0.345"
"M9 8QD","Live","E01005104","Manchester 004A E01005104","2582","1","2342","1","0.33","3473","2","0.228","7472","3","2064","1","4731","2","2584","1","9851","3","1480","1","0.457","4008","2","0.345"
"M9 8QE","Live","E01005104","Manchester 004A E01005104","2582","1","2342","1","0.33","3473","2","0.228","7472","3","2064","1","4731","2","2584","1","9851","3","1480","1","0.457","4008","2","0.345"
"M9 7GH","Live","E01033685","Manchester 003F E01033685","13218","5","14325","5","0.132","12344","4","0.122","18473","6","5618","2","16455","6","14884","5","12640","4","15798","5","0.155","9811","3","0.228"
"M9 7HQ","Live","E01033687","Manchester 003G E01033687","3087","1","4809","2","0.264","2511","1","0.249","6464","2","494","1","11291","4","11101","4","8349","3","11472","4","0.214","1672","1","0.437"
"M9 7JA","Live","E01033685","Manchester 003F E01033685","13218","5","14325","5","0.132","12344","4","0.122","18473","6","5618","2","16455","6","14884","5","12640","4","15798","5","0.155","9811","3","0.228"
"M9 8AS","Live","E01005206","Manchester 006C E01005206","3109","1","5554","2","0.249","5184","2","0.198","7211","3","633","1","2156","1","17271","6","2525","1","4234","2","0.359","5810","2","0.302"
"M9 8DR","Live","E01005140","Manchester 002E E01005140","5311","2","7370","3","0.215","4848","2","0.203","10169","4","1784","1","3074","1","17201","6","11116","4","10003","4","0.237","6587","3","0.285"
"M9 8NJ","Live","E01005140","Manchester 002E E01005140","5311","2","7370","3","0.215","4848","2","0.203","10169","4","1784","1","3074","1","17201","6","11116","4","10003","4","0.237","6587","3","0.285"
