street,city,postcode,price,bedroom_number
Manchester City Centre Apartments Angel Street Manchester M4,Manchester City Centre Apartments Angel Street Manchester M4,M4 4BR,229950,2
Manchester City Centre Apartments Angel Street Manchester M4,Manchester City Centre Apartments Angel Street Manchester M4,M60 0AG,200000,1
Manchester Off Plan Apartments Redhill Street Manchester M4,Manchester Off Plan Apartments Redhill Street Manchester M4,M4 5BA,139995,1
Manchester Off Plan Apartments Redhill Street Manchester M4,Manchester Off Plan Apartments Redhill Street Manchester M4,M4 5BB,149995,1
Manchester Off Plan Apartments Redhill Street Manchester M4,Manchester Off Plan Apartments Redhill Street Manchester M4,M4 5BF,129995,1
Manchester City Centre Apartments Angel Street Manchester M4,Manchester City Centre Apartments Angel Street Manchester M4,M4 4BC,170000,1
Pickford Street Manchester M4,Pickford Street Manchester M4,M4 5BS,180000,2
Olympia Trading Estate Great Jackson Street Manchester M15,Olympia Trading Estate Great Jackson Street Manchester M15,M15 4NP,202500,2
Hulme High Street Hulme Manchester M15,Hulme High Street Hulme Manchester M15,M15 5JP,125000,2
The Linx 25 Simpson Street Manchester M4,The Linx 25 Simpson Street Manchester M4,M4 4BI,210000,2
Ovale 12 Pollard Street Manchester M4,Ovale 12 Pollard Street Manchester M4,M4 7JA,180000,2
Stonebridge House Cobourg Street Manchester M1,Stonebridge House Cobourg Street Manchester M1,M1 3GY,140000,1
Asia House Manchester Greater Manchester M1,Asia House Manchester Greater Manchester M1,M1 6DE,230000,2
The Rhine 32 City Road East Manchester Greater Manchester M15,The Rhine 32 City Road East Manchester Greater Manchester M15,M15 4TL,190000,2
Whitworth Street West Manchester M1,Whitworth Street West Manchester M1,M1 5WW,229950,2
Manchester City Centre Apartments Angel Street Manchester M4,Manchester City Centre Apartments Angel Street Manchester M4,M15 4HZ,250000,1
Manchester Off Plan Apartments Redhill Street Manchester M4,Manchester Off Plan Apartments Redhill Street Manchester M4,M4 5BC,119995,1
Manchester Off Plan Apartments Redhill Street Manchester M4,Manchester Off Plan Apartments Redhill Street Manchester M4,M4 5BE,150000,2
Manchester City Centre Apartments Angel Street Manchester M4,Manchester City Centre Apartments Angel Street Manchester M4,M4 4BA,240000,2
Manchester City Centre Apartments Angel Street Manchester M4,Manchester City Centre Apartments Angel Street Manchester M4,M4 4BB,169950,1
