prov,price,url,postcode,description,street_name,furnishing,image,period_unit,origin_url,location,property_type,property_status,bedroom_number_raw
oxlets.1,785.00,index.php?act=viewProd&productId=100,OX28 6FR,AVAILABILITYLET AGREED!,,FURNISHED,/images/uploads/thumbs/thumb_SAM_0550_(1024x768).jpg,pcm,http://www.oxlets.com/index.php?page=1&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Bathing Place Court, OX28 6FR",2 bed flat to rent in Witney,LET AGREED!,2
oxlets.2,795.00,index.php?act=viewProd&productId=106,OX18 1TQ,AVAILABILITYre-let in just 7 days!,,FURNISHED,/images/uploads/thumbs/thumb_66_Bracken_front_new_nov_2013.jpg,pcm,http://www.oxlets.com/index.php?page=1&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Bracken Close, OX18 1TQ",2 bed house to rent in Carterton,re-let in just 7 days!,2 bed house to rent in Carterton
oxlets.3,825.00,index.php?act=viewProd&productId=101,OX28 5JQ,AVAILABILITYLET AGREED!,Burwell Meadow,FURNISHED,/images/uploads/thumbs/thumb_70_burwell_front_lifted_from_rightmove.jpg,pcm,http://www.oxlets.com/index.php?page=1&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Burwell Meadow, OX28 5JQ",2 bed house to rent in Witney,LET AGREED!,2
oxlets.4,675.00,index.php?act=viewProd&productId=103,OX28 6GA,AVAILABILITYNOW LET,Corn Street,FURNISHED,/images/uploads/thumbs/thumb_2coopfront.JPG,pcm,http://www.oxlets.com/index.php?page=1&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Corn Street, OX28 6GA",1 bed flat to rent in Witney Town Centre,NOW LET,1
oxlets.5,850.00,index.php?act=viewProd&productId=102,OX28 4DB,AVAILABILITYNOW LET,,FURNISHED,/images/uploads/thumbs/thumb_DSCN1643_(1024x768).jpg,pcm,http://www.oxlets.com/index.php?page=1&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Farriers Court, OX28 4DB",2 bed flat to rent in Witney,NOW LET,2
oxlets.6,645.00,index.php?act=viewProd&productId=105,OX18 1TF,AVAILABILITYLET AGREED!,Heather Close,FURNISHED,/images/uploads/thumbs/thumb_15_Heather_lounge_1.jpg,pcm,http://www.oxlets.com/index.php?page=1&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Heather Close, OX18 1TF",1 bedroom house to rent in Carterton,LET AGREED!,1 bedroom house to rent in Carterton
oxlets.7,825.00,index.php?act=viewProd&productId=99,OX28 3ST,AVAILABILITYLET AGREED!,Manor Road,FURNISHED,/images/uploads/thumbs/thumb_SAM_0156_(1024x768).jpg,pcm,http://www.oxlets.com/index.php?page=1&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Manor Road, OX28 3ST",2 bed house to rent in Witney,LET AGREED!,2
oxlets.8,625.00,index.php?act=viewProd&productId=98,OX28 1DD,AVAILABILITYLET AGREED!,,FURNISHED,/images/uploads/thumbs/thumb_DSCF0008_(1024x768).jpg,pcm,http://www.oxlets.com/index.php?page=1&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Woodgreen, Witney, OX28 1DD",1 bed flat to rent in Witney,LET AGREED!,1
oxlets.9,595.00,index.php?act=viewProd&productId=92,OX18 1TG,AVAILABILITYNOW LET,Bracken Close,FURNISHED,/images/uploads/thumbs/thumb_bracken_main.JPG,pcm,http://www.oxlets.com/index.php?page=2&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Bracken Close, Carterton, OX18 1TG",1 bed house to rent in Carterton,NOW LET,1
oxlets.10,1495.00,index.php?act=viewProd&productId=95,OX18 3NR,AVAILABILITYLET AGREED!,Burford Road,FURNISHED,/images/uploads/thumbs/thumb_DSCF9392_(1280x960).jpg,pcm,http://www.oxlets.com/index.php?page=2&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Burford Road, Brize Norton, OX18 3NR",4 bed house to rent,LET AGREED!,4 bed house to rent
oxlets.11,1495.00,index.php?act=viewProd&productId=95,OX18 3NR,AVAILABILITYLET AGREED!,,FURNISHED,/images/uploads/thumbs/thumb_DSCF9392_(1280x960).jpg,pcm,http://www.oxlets.com/index.php?page=2&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Burford Road, Brize Norton, OX18 3NR",4 bed house to rent,LET AGREED!,4
oxlets.12,995.00,index.php?act=viewProd&productId=94,OX5 1QW,AVAILABILITYLET AGREED!,Great Close Road,FURNISHED,/images/uploads/thumbs/thumb_FRONT_PICTURE_YARNTON.jpg,pcm,http://www.oxlets.com/index.php?page=2&search%5Btowndrop%5D=0&search%5Bradius%5D=25&search%5Bbeds%5D=1&search%5Bminpcm%5D=0&search%5Bmaxpcm%5D=30000000&search%5Bfurnishedno%5D=1&act=viewCat&catId=1&searchStr=1,"Great Close Road, YARNTON, OX5 1QW",3 bed semi to rent in Yarnton,LET AGREED!,3 bed semi to rent in Yarnton
