postcode,street_name,town,prov
M1 1AG,Houldsworth Street,Manchester,
M1 1AH,Warwick Street,Manchester,
M1 1BA,Dale Street,Manchester,
M1 1BE,Faraday Street,Manchester,
M1 1BY,Lever Street,Manchester,
M1 1DB,Stevenson Square,Manchester,
M1 1DF,Spear Street,Manchester,
M1 1DN,Stevenson Square,Manchester,
M1 1DW,Lever Street,Manchester,
M1 1DZ,Lever Street,Manchester,
M1 1EA,Lever Street,Manchester,
M1 1EB,Houldsworth Street,Manchester,
M1 1ED,Newton Street,Manchester,
M1 1EE,Newton Street,Manchester,
M1 1EF,"Houldsworth Street, Great Ancoats Street",Manchester,
M1 1EH,Bradley Street,Manchester,
M1 1EJ,Houldsworth Street,Manchester,
M1 1EL,Hilton Street,Manchester,
M1 1ER,Newton Street,Manchester,
M1 1ET,Newton Street,Manchester,
M1 1EU,Newton Street,Manchester,
M1 1EW,Newton Street,Manchester,
M1 1EX,Newton Street,Manchester,
M1 1EY,Dale Street,Manchester,
M1 1EZ,Dale Street,Manchester,
M1 1FB,Stevenson Square,Manchester,
M1 1FJ,Lever Street,Manchester,
M1 1FL,Lever Street,Manchester,
M1 1FN,Lever Street,Manchester,
M1 1FR,Hilton Street,Manchester,
M1 1FT,Newton Street,Manchester,
M1 1FY,Dale Street,Manchester,
M1 1FZ,Newton Street,Manchester,
M1 1HR,Little Lever Street,Manchester,
M1 1JA,Dale Street,Manchester,
M1 1JF,Hilton Street,Manchester,
M1 1JG,Oldham Street,Manchester,
M1 1JJ,Hilton Street,Manchester,
M1 1JL,Hilton Street,Manchester,
M1 1JN,Oldham Street,Manchester,
M1 1JQ,Oldham Street,Manchester,
M1 1JR,Oldham Street,Manchester,
M1 1JU,Spear Street,Manchester,
M1 1LN,Lever Street,Manchester,
M1 1LQ,Piccadilly,Manchester,
M1 1LW,Lever Street,Manchester,
M1 2AN,Newton Street,Manchester,
M1 2AP,Piccadilly,Manchester,
M1 2AQ,Piccadilly,Manchester,
M1 2AU,Chapeltown Street,Manchester,
M1 2BE,Jutland Street,Manchester,
M1 2BJ,Chapeltown Street,Manchester,
M1 2BL,Hilton Street,Manchester,
M1 2BQ,Chapeltown Street,Manchester,
M1 2BS,Piccadilly,Manchester,
M1 2BU,Piccadilly,Manchester,
M1 2DA,Piccadilly,Manchester,
M1 2DE,Ducie Street,Manchester,
M1 2DQ,Ducie Street,Manchester,
M1 2EA,Newton Street,Manchester,
M1 2ED,Brewer Street,Manchester,
M1 2EF,Hilton Street,Manchester,
M1 2EG,Port Street,Manchester,
M1 2EH,Hilton Street,Manchester,
M1 2EJ,Hilton Street,Manchester,
M1 2EP,Tariff Street,Manchester,
M1 2EQ,Port Street,Manchester,
M1 2ER,Brewer Street,Manchester,
M1 2FF,Tariff Street,Manchester,
M1 2FJ,Tariff Street,Manchester,
M1 2HF,Dale Street,Manchester,
M1 2HG,Dale Street,Manchester,
M1 2HH,Dale Street,Manchester,
M1 2HN,Dale Street,Manchester,
M1 2HS,Dale Street,Manchester,
M1 2HX,Piccadilly,Manchester,
M1 2HY,Piccadilly,Manchester,
M1 2JG,Ducie Street,Manchester,
M1 2JN,Ducie Street,Manchester,
M1 2JP,Laystall Street,Manchester,
M1 2JQ,Ducie Street,Manchester,
M1 2JW,Ducie Street,Manchester,
M1 2NA,Sparkle Street,Manchester,
M1 2ND,Sheffield Street,Manchester,
M1 2NN,Chapeltown Street,Manchester,
M1 2NP,Great Ancoats Street,Manchester,
M1 2NQ,Adair Street,Manchester,
M1 2NT,"Helmet Street, Fairfield Street",Manchester,
M1 2PE,"Piccadilly, Dale Street",Manchester,
M1 2PY,Baring Street,Manchester,
M1 2QF,Fairfield Street,Manchester,
M1 2TP,Ducie Street,Manchester,
M1 2TQ,Ducie Street,Manchester,
M1 2WB,Store Street,Manchester,
M1 2WD,Store Street,Manchester,
M1 2WH,Chapeltown Street,Manchester,
M1 2WL,"Longacre Street, Churchgate Buildings",Manchester,
M1 2WN,Longacre Street,Manchester,
M1 2WR,Fairfield Street,Manchester,
M1 2WW,Heyrod Street,Manchester,
M1 2WX,Portugal Street East,Manchester,
M1 3AB,Whitworth Street,Manchester,
M1 3BE,Portland Street,Manchester,
M1 3BG,Piccadilly,Manchester,
M1 3BL,Aytoun Street,Manchester,
M1 3BN,London Road,Manchester,
M1 3BR,Piccadilly,Manchester,
M1 3DA,Aytoun Street,Manchester,
M1 3DB,Aytoun Street,Manchester,
M1 3DZ,Minshull Street,Manchester,
M1 3ED,Minshull Street,Manchester,
M1 3EF,Minshull Street,Manchester,
M1 3EJ,Chorlton Street,Manchester,
M1 3FH,Chorlton Street,Manchester,
M1 3FR,Minshull Street,Manchester,
M1 3FY,Chorlton Street,Manchester,
M1 3GE,Granby Row,Manchester,
M1 3GF,Fairfield Street,Manchester,
M1 3GW,Whitworth Street,Manchester,
M1 3HE,Canal Street,Manchester,
M1 3HF,Richmond Street,Manchester,
M1 3HP,Portland Street,Manchester,
M1 3HR,Bloom Street,Manchester,
M1 3HW,Chorlton Street,Manchester,
M1 3HY,Chorlton Street,Manchester,
M1 3HZ,Bloom Street,Manchester,
M1 3JE,Bloom Street,Manchester,
M1 3LD,Portland Street,Manchester,
M1 3LF,Portland Street,Manchester,
M1 3LY,Bloom Street,Manchester,
M1 3LZ,Sackville Street,Manchester,
M1 3NF,Sackville Street,Manchester,
M1 3NJ,Sackville Street,Manchester,
M1 3NR,Whitworth Street,Manchester,
M1 3NT,Whitworth Street,Manchester,
M1 3PJ,Brazil Street,Manchester,
M1 3PW,Brazil Street,Manchester,
M1 3WA,Sackville Street,Manchester,
M1 3WB,Richmond Street,Manchester,
M1 3WD,Canal Street,Manchester,
M1 3WF,Sackville Street,Manchester,
M1 3WS,Whitworth Street,Manchester,
M1 4AB,George Street,Manchester,
M1 4AD,York Street,Manchester,
M1 4BT,Piccadilly,Manchester,
M1 4BX,Charlotte Street,Manchester,
M1 4DY,Faulkner Street,Manchester,
M1 4DZ,Charlotte Street,Manchester,
